canon powershot g3,,,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,nsubj####purchased####i######nsubj####satisfied####i######advmod####purchased####recently######det####g3####the######amod####g3####canon######nn####g3####powershot######dobj####purchased####g3######auxpass####satisfied####am######advmod####satisfied####extremely######conj_and####purchased####satisfied######det####purchase####the######prep_with####satisfied####purchase
,,,"if you are looking for a very simple point and shoot_camera , this is probably not what you are looking for .",mark####looking####if######nsubj####looking####you######aux####looking####are######advcl####is####looking######det####point####a######advmod####simple####very######amod####point####simple######prep_for####looking####point######prep_for####looking####shoot_camera######conj_and####point####shoot_camera######nsubj####is####this######advmod####not####probably######advmod####is####not######dep####looking####what######nsubj####looking####you######aux####looking####are######dep####not####looking######prep####looking####for
,,,"if you are looking for an outstanding camera that can take you from simple to complex , this is it .",mark####looking####if######nsubj####looking####you######aux####looking####are######advcl####it####looking######det####camera####an######amod####camera####outstanding######prep_for####looking####camera######nsubj####take####camera######aux####take####can######rcmod####camera####take######dobj####take####you######prep_from####take####simple######prep_to####take####complex######nsubj####it####this######cop####it####is
,product,,it is a very amazing product .,nsubj####product####it######cop####product####is######det####product####a######advmod####amazing####very######amod####product####amazing
,,camera,i highly recommend it .,dep####recommend####i######advmod####recommend####highly######dobj####recommend####it
feature,,,just received this camera two days ago and already love the features it has .,advmod####received####just######dep####has####received######det####camera####this######dobj####received####camera######num####days####two######dep####ago####days######advmod####received####ago######advmod####love####already######conj_and####received####love######dep####has####love######det####features####the######dobj####love####features######nsubj####has####it
photo,,,takes excellent photos .,amod####photos####excellent######dobj####takes####photos
night mode,,,night_mode is clear as day .,nsubj####clear####night_mode######cop####clear####is######prep_as####clear####day
,use,,"i have not played with all the features yet , but the camera is easy to use once you get used to it .",nsubj####played####i######aux####played####have######neg####played####not######predet####features####all######det####features####the######prep_with####played####features######advmod####played####yet######det####camera####the######nsubj####easy####camera######cop####easy####is######conj_but####played####easy######aux####use####to######xcomp####easy####use######mark####used####once######nsubjpass####used####you######auxpass####used####get######advcl####use####used######prep_to####used####it
viewfinder,,,the only drawback is the viewfinder is slightly blocked by the lens .,det####drawback####the######amod####drawback####only######nsubj####viewfinder####drawback######cop####viewfinder####is######det####viewfinder####the######auxpass####blocked####is######advmod####blocked####slightly######rcmod####viewfinder####blocked######det####lens####the######agent####blocked####lens
,,,"however , using the lcd seems to eliminate this minor problem .",advmod####using####however######det####lcd####the######dobj####using####lcd######pred####using####seems######aux####eliminate####to######xcomp####seems####eliminate######det####problem####this######amod####problem####minor######dobj####eliminate####problem
camera,,,overall it is the best camera on the market .,advmod####camera####overall######nsubj####camera####it######cop####camera####is######det####camera####the######amod####camera####best######det####market####the######prep_on####camera####market
,,,i give it 10 stars !,dep####give####i######iobj####give####it######num####stars####10######dobj####give####stars
,,,this camera has significantly more noise at iso 100 than the nikon 4500 .,det####camera####this######nsubj####has####camera######advmod####more####significantly######amod####noise####more######dobj####has####noise######prep_at####has####iso######num####iso####100######det####nikon####the######prep_than####iso####nikon######num####nikon####4500
,,,i just bought the camera a few days ago .,nsubj####bought####i######advmod####bought####just######det####camera####the######dobj####bought####camera######det####days####a######amod####days####few######dep####ago####days######advmod####bought####ago
,,,"before i `` get used to it `` , here are my first feelings :",advmod####feelings####before######advmod####used####i######dep####used####get######dep####feelings####used######prep####used####to######dep####used####it######advmod####feelings####here######cop####feelings####are######poss####feelings####my######amod####feelings####first
picture quality,,,"a ) the picture_quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging -- - how could one eat_rice one grain at a time : - ) )",dep####great####a######det####picture_quality####the######nsubj####great####picture_quality######dep####picture_quality####color######dep####picture_quality####sharpness######conj_and####color####sharpness######prepc_of####color####focusing######cop####great####are######advmod####great####so######ccomp####eliminated####great######nsubj####eliminated####it######advmod####eliminated####completely######poss####doubt####my######dobj####eliminated####doubt######amod####imaging####digital######prep_about####doubt####imaging######advmod####eat_rice####how######aux####eat_rice####could######nsubj####eat_rice####one######dep####doubt####eat_rice######num####grain####one######dobj####eat_rice####grain######det####time####a######prep_at####eliminated####time
lens cover,,,"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au_lens tigt and cause potential damage .",dep####loose####b######det####cover####the######nn####cover####lens######nsubj####loose####cover######cop####loose####is######advmod####loose####surely######ccomp####finger-printed####loose######nsubj####finger-printed####i######nsubj####au_lens####i######advmod####finger-printed####already######advmod####finger-printed####accidently######det####len####the######iobj####finger-printed####len######det####times####a######amod####times####few######dobj####finger-printed####times######conj_and####finger-printed####au_lens######xcomp####au_lens####tigt######xcomp####au_lens####cause######conj_and####tigt####cause######amod####damage####potential######dobj####tigt####damage
,,,i wish canon would work out some way for that issue .,nsubj####wish####i######nsubj####work####canon######aux####work####would######ccomp####wish####work######prt####work####out######det####way####some######dobj####work####way######det####issue####that######prep_for####way####issue
zooming lever,,,"the zooming_lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy .",det####zooming_lever####the######nsubj####shaky####zooming_lever######cop####shaky####is######ccomp####hope####shaky######nsubj####hope####i######nsubj####operate####it######aux####operate####does######neg####operate####not######ccomp####hope####operate######dep####feel####mechanically######advmod####feel####otherwise######nsubj####feel####you######aux####feel####'ll######ccomp####operate####feel######acomp####feel####uneasy
,,,i bought this last week through amazon .,nsubj####bought####i######det####week####this######amod####week####last######tmod####bought####week######prep_through####bought####amazon
,,,got a great deal from a reputable seller .,det####deal####a######amod####deal####great######dobj####got####deal######det####seller####a######amod####seller####reputable######prep_from####got####seller
camera,,,i love this camera .,dep####love####i######det####camera####this######dobj####love####camera
,,,i am still trying to figure out the may options it has .,advmod####trying####i######aux####trying####am######advmod####trying####still######aux####figure####to######xcomp####trying####figure######prt####figure####out######dobj####figure####the######dep####the####may######dep####trying####options######dobj####has####options######nsubj####has####it######rcmod####options####has
picture,,,took hundreds of pictures and they were great .,dobj####took####hundreds######prep_of####hundreds####pictures######nsubj####great####they######cop####great####were######conj_and####took####great
"color,picture,white balance",,,"great colors , pictures and white balance .",amod####colors####great######appos####colors####pictures######amod####balance####white######appos####colors####balance######conj_and####pictures####balance
optical zoom,,,has 4x optical zoom which is higher than any other in the same price_range .,amod####zoom####4x######amod####zoom####optical######dobj####has####zoom######nsubj####higher####zoom######cop####higher####is######rcmod####zoom####higher######det####other####any######prep_than####higher####other######det####price_range####the######amod####price_range####same######prep_in####other####price_range
,,,it is generally overpriced a little bit but you get what you are paying for .,nsubjpass####overpriced####it######auxpass####overpriced####is######advmod####overpriced####generally######det####bit####a######amod####bit####little######dobj####overpriced####bit######nsubj####get####you######conj_but####overpriced####get######dep####paying####what######nsubj####paying####you######aux####paying####are######ccomp####get####paying######prep####paying####for
,picture,,"maybe it is my lack of experience , but i found shots with this camera very disappointing .",advmod####lack####maybe######nsubj####lack####it######cop####lack####is######poss####lack####my######prep_of####lack####experience######nsubj####found####i######conj_but####lack####found######dobj####found####shots######det####camera####this######prep_with####found####camera######advmod####disappointing####very######amod####camera####disappointing
,price,,it was ( i sold it after a few months ) too expensive for the shots that i got .,nsubj####expensive####it######cop####expensive####was######nsubj####sold####i######parataxis####expensive####sold######dobj####sold####it######det####months####a######amod####months####few######prep_after####sold####months######advmod####expensive####too######det####shots####the######prep_for####expensive####shots######dobj####got####shots######complm####got####that######nsubj####got####i######dep####shots####got
,camera,,"sure it had all the features , but when i tried to shoot a girl 's basketball_game it just wa n't up to the task .",advmod####had####sure######nsubj####had####it######predet####features####all######det####features####the######dobj####had####features######advmod####tried####when######nsubj####tried####i######xsubj####shoot####i######dep####wa####tried######aux####shoot####to######xcomp####tried####shoot######det####girl####a######poss####basketball_game####girl######dobj####shoot####basketball_game######nsubj####wa####it######advmod####wa####just######conj_but####had####wa######neg####wa####n't######dep####wa####up######det####task####the######prep_to####up####task
,,,i do n't think i was asking too much .,nsubj####think####i######aux####think####do######neg####think####n't######nsubj####asking####i######aux####asking####was######ccomp####think####asking######advmod####much####too######advmod####asking####much
,,,any film_zoom p and s would have given superior results with a minimal effort .,det####p####any######nn####p####film_zoom######nsubj####given####p######conj_and####p####s######nsubj####given####s######aux####given####would######aux####given####have######amod####results####superior######dobj####given####results######det####effort####a######amod####effort####minimal######prep_with####given####effort
,,,and with the 500 you save you could print the results for the life of the camera .,dep####save####and######dep####and####with######det####500####the######pobj####with####500######nsubj####save####you######dep####print####save######nsubj####print####you######aux####print####could######det####results####the######dobj####print####results######det####life####the######prep_for####print####life######det####camera####the######prep_of####life####camera
camera,,,i found that low light situations combined with any sort of action left this camera in the dust .,nsubj####found####i######complm####left####that######amod####situations####low######amod####situations####light######nsubj####left####situations######prep####situations####combined######dep####combined####with######det####sort####any######pobj####with####sort######prep_of####sort####action######ccomp####found####left######det####camera####this######dobj####left####camera######det####dust####the######prep_in####left####dust
,,,i wanted it to shoot concerts as well .,nsubj####wanted####i######nsubj####shoot####it######aux####shoot####to######xcomp####wanted####shoot######dobj####shoot####concerts######advmod####well####as######advmod####shoot####well
,,,that meant even less light and just as much action .,nsubj####meant####that######advmod####light####even######advmod####light####less######amod####action####light######advmod####much####just######advmod####much####as######conj_and####light####much######amod####action####much######dobj####meant####action
,,,"sure , i adjusted the film_speed to 400 .",advmod####adjusted####sure######nsubj####adjusted####i######det####film_speed####the######dobj####adjusted####film_speed######prep_to####adjusted####400
grain,,,the grain was terrible .,det####grain####the######nsubj####terrible####grain######cop####terrible####was
,,,next time_i set it at 100 and used the flash .,amod####time_i####next######nsubj####set####time_i######nsubj####used####time_i######dobj####set####it######prep_at####set####100######conj_and####set####used######det####flash####the######dobj####used####flash
"flash photo,noise",,,"well flash photos are never great , and there was still a lot of noise .",advmod####great####well######nn####photos####flash######nsubj####great####photos######cop####great####are######neg####great####never######expl####was####there######conj_and####great####was######advmod####was####still######det####lot####a######nsubj####was####lot######prep_of####lot####noise
photo,,,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome .",advmod####took####when######nsubj####took####i######dep####awesome####took######amod####photos####outdoor######dobj####took####photos######prep####took####with######pobj####with####plenty######prep_of####plenty####light######det####objects####the######nsubj####moving####objects######aux####moving####were######neg####moving####n't######conj_and####took####moving######dep####awesome####moving######det####photos####the######nsubj####awesome####photos######cop####awesome####were
camera,,,the camera was a marvel .,det####camera####the######nsubj####marvel####camera######cop####marvel####was######det####marvel####a
,,,getting the printer to help output them was another tale .,dep####tale####getting######det####printer####the######dobj####getting####printer######aux####help####to######infmod####printer####help######dobj####help####output######nsubj####tale####them######cop####tale####was######det####tale####another
,,,overall i think that you need to consider what you wa n't to do .,amod####i####overall######nsubj####think####i######complm####need####that######nsubj####need####you######xsubj####consider####you######ccomp####think####need######aux####consider####to######xcomp####need####consider######dep####wa####what######nsubj####wa####you######xsubj####do####you######ccomp####consider####wa######neg####wa####n't######aux####do####to######xcomp####wa####do
,,,"for simple point and shoot_photography , consider a cheaper digital .",amod####point####simple######prep_for####consider####point######conj_and####point####shoot_photography######prep_for####consider####shoot_photography######det####digital####a######amod####digital####cheaper######dobj####consider####digital
,,,you do n't need the extra resolution or the cost .,nsubj####need####you######aux####need####do######neg####need####n't######det####resolution####the######amod####resolution####extra######dobj####need####resolution######det####cost####the######dobj####need####cost######conj_or####resolution####cost
,,,then again a one_time use camera may do just as well .,advmod####do####then######advmod####do####again######det####camera####a######amod####camera####one_time######nn####camera####use######nsubj####do####camera######aux####do####may######advmod####do####just######advmod####well####as######advmod####do####well
,,,"if you shoot in lots of light and desire high quality , this will be your camera .",mark####shoot####if######nsubj####shoot####you######advcl####camera####shoot######prep_in####shoot####lots######nn####quality####light######conj_and####light####desire######nn####quality####desire######amod####quality####high######prep_of####lots####quality######nsubj####camera####this######aux####camera####will######cop####camera####be######poss####camera####your
,,camera,it is versatile and seems to be one of the best .,nsubj####versatile####it######nsubj####seems####it######xsubj####one####it######cop####versatile####is######conj_and####versatile####seems######aux####one####to######cop####one####be######xcomp####seems####one######det####best####the######prep_of####one####best
,,,"me , i am going with a leica_minilux ( the g3 was replacing mine which was stolen ) .",nsubj####going####me######nsubj####going####i######aux####going####am######det####leica_minilux####a######prep_with####going####leica_minilux######det####g3####the######nsubj####replacing####g3######aux####replacing####was######dep####leica_minilux####replacing######dobj####replacing####mine######nsubjpass####stolen####mine######auxpass####stolen####was######rcmod####mine####stolen
,,,sure .
,,,"it is less versatile , but i am never disappointed with the output .",nsubj####versatile####it######cop####versatile####is######advmod####versatile####less######nsubjpass####disappointed####i######auxpass####disappointed####am######neg####disappointed####never######conj_but####versatile####disappointed######det####output####the######prep_with####disappointed####output
,,,"i am a long-time user of highly responsive film_slrs and professional quality external flash_equipment , just so you know my bias .",nsubj####user####i######cop####user####am######det####user####a######amod####user####long-time######advmod####responsive####highly######amod####film_slrs####responsive######prep_of####user####film_slrs######dep####external####professional######dep####external####quality######amod####flash_equipment####external######prep_of####user####flash_equipment######conj_and####film_slrs####flash_equipment######advmod####know####just######dep####know####so######nsubj####know####you######dep####user####know######poss####bias####my######dobj####know####bias
,,,"i have been watching the development of digicams for years , waiting to make my first move .",dep####watching####i######aux####watching####have######aux####watching####been######det####development####the######dobj####watching####development######xsubj####make####development######prep_of####development####digicams######prep_for####digicams####years######partmod####development####waiting######aux####make####to######xcomp####waiting####make######poss####move####my######amod####move####first######dobj####make####move
,,,"what i really want is a $ 1,500 digital slr with a full frame_sensor that will take my nikon lenses .",dobj####want####what######nsubj####want####i######advmod####want####really######csubj####slr####want######cop####slr####is######det####slr####a######num####slr####$######number####$########500######number####$####digital######det####frame_sensor####a######amod####frame_sensor####full######prep_with####slr####frame_sensor######nsubj####take####frame_sensor######aux####take####will######rcmod####frame_sensor####take######poss####lenses####my######nn####lenses####nikon######dobj####take####lenses
,,,"i figure that is at least three years off , and i am getting impatient .",nsubj####figure####i######complm####is####that######ccomp####figure####is######quantmod####three####at######dep####at####least######num####years####three######dep####off####years######advmod####is####off######nsubj####impatient####i######aux####impatient####am######dep####impatient####getting######conj_and####figure####impatient
,,,hence_i decided to spring for a point-and-shoot digicam that that would have features that would let me get around their inherent limitations .,nsubj####decided####hence_i######xsubj####spring####hence_i######aux####spring####to######xcomp####decided####spring######det####digicam####a######amod####digicam####point-and-shoot######prep_for####spring####digicam######complm####have####that######nsubj####have####that######aux####have####would######ccomp####spring####have######dobj####have####features######nsubj####let####features######aux####let####would######rcmod####features####let######nsubj####get####me######ccomp####let####get######prt####get####around######poss####limitations####their######amod####limitations####inherent######dobj####get####limitations
g3,,,"i chose the g3 because of its reputation for very high quality , clean images .",nsubj####chose####i######det####g3####the######dobj####chose####g3######poss####reputation####its######prep_because_of####g3####reputation######advmod####high####very######amod####quality####high######prep_for####chose####quality######amod####images####clean######appos####quality####images
"lag time,flash",,,"the two limitations i knew i would have to deal with are the very long lag_time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash .",det####limitations####the######num####limitations####two######nsubj####knew####limitations######advmod####knew####i######dep####lag_time####knew######nsubj####have####i######xsubj####deal####i######aux####have####would######ccomp####knew####have######aux####deal####to######xcomp####have####deal######prep####deal####with######cop####lag_time####are######det####lag_time####the######advmod####long####very######amod####lag_time####long######prep_before####lag_time####it######nsubj####lag_time####focus-locks######dep####in####even######dep####focus-locks####in######amod####light####bright######pobj####in####light######det####quality####the######advmod####light####unsatisfactory######amod####quality####light######nsubj####lag_time####quality######conj_and####focus-locks####quality######det####flash####the######amod####flash####built-in######prep_of####quality####flash
,,,"as of this writing , technology has not solved the focus-lock lag_time problem for point-and-shoot digicams and anyone who is satisfied with it simply has never used a modern film_slr .",advcl####solved####of######det####writing####this######prep_as_of####solved####writing######nsubj####solved####technology######aux####solved####has######neg####solved####not######det####problem####the######amod####problem####focus-lock######nn####problem####lag_time######dobj####solved####problem######nsubj####satisfied####problem######amod####digicams####point-and-shoot######prep_for####problem####digicams######prep_for####problem####anyone######conj_and####digicams####anyone######cop####satisfied####is######rcmod####problem####satisfied######mark####used####with######nsubj####used####it######advmod####used####simply######aux####used####has######neg####used####never######advcl####satisfied####used######det####film_slr####a######amod####film_slr####modern######dobj####used####film_slr
,,,"at least once youve got focus lock , the shutter_release lag_time for the g3 is about 1/10 of a second , which from what ive read , is better than just about anything else available .",advmod####got####at######dep####at####least######dep####got####once######nsubj####got####youve######advcl####1\/10####got######nn####lock####focus######dobj####got####lock######det####lag_time####the######amod####lag_time####shutter_release######nsubj####1\/10####lag_time######det####g3####the######prep_for####lag_time####g3######cop####1\/10####is######quantmod####1\/10####about######det####second####a######prep_of####1\/10####second######prep_from####which####second######dobj####available####second######rel####available####which######nsubj####available####ive######partmod####ive####read######cop####available####is######advmod####available####better######dep####better####than######quantmod####about####just######pobj####than####about######dep####than####anything######advmod####anything####else######rcmod####second####available
depth,,,what makes the focus-lock lag_time something_i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 .,nsubj####makes####what######det####something_i####the######amod####something_i####focus-lock######nn####something_i####lag_time######nsubj####live####something_i######nsubj####shoot####something_i######aux####live####can######ccomp####makes####live######mark####depth####with######cop####depth####is######det####depth####the######amod####depth####extreme######advcl####live####depth######prep_of####depth####field######amod####field####obtainable######det####point####these######prep_with####obtainable####point######ccomp####makes####shoot######conj_and####live####shoot######dobj####shoot####digicams######prep_at####shoot####f8
,,,"once i get focus lock , i can then wait until my restless_subject ( a pet or a child ) strikes an amusing_pose and then fire the shutter with some reasonable probability of getting my subject still in focus .",mark####get####once######nsubj####get####i######advcl####wait####get######nn####lock####focus######dobj####get####lock######nsubj####wait####i######nsubj####fire####i######aux####wait####can######advmod####wait####then######mark####strikes####until######poss####restless_subject####my######nsubj####strikes####restless_subject######det####pet####a######dep####restless_subject####pet######det####child####a######dep####restless_subject####child######conj_or####pet####child######advcl####wait####strikes######det####amusing_pose####an######dobj####strikes####amusing_pose######advmod####wait####then######conj_and####wait####then######conj_and####wait####fire######det####shutter####the######dobj####fire####shutter######det####probability####some######amod####probability####reasonable######prep_with####fire####probability######prepc_of####probability####getting######poss####subject####my######dobj####getting####subject######advmod####getting####still######prep_in####getting####focus
,,,now what about the flash_problem ?,advmod####what####now######dep####what####about######det####flash_problem####the######pobj####about####flash_problem
flash,,,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .",ccomp####produces####relative######dobj####achieve####what######nsubj####achieve####i######aux####achieve####can######advmod####achieve####easily######prepc_to####relative####achieve######amod####flash####external######prep_with####achieve####flash######poss####slr####my######nn####slr####nikon######prep_on####flash####slr######det####flash####the######amod####flash####internal######nsubj####produces####flash######det####g3####the######prep_on####flash####g3######amod####images####harsh######dep####harsh####flat######dobj####produces####images######amod####spots####ugly######amod####spots####hot######prep_with####images####spots
external flash hot shoe,,,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 .",advmod####has####fortunately######det####g3####the######nsubj####has####g3######det####shoe####a######amod####shoe####hot######dobj####has####shoe######nsubj####take####shoe######aux####take####can######rcmod####shoe####take######det####flash####an######amod####flash####external######dobj####take####flash######advmod####owned####fortunately######prep_for####owned####me######nsubj####owned####i######advmod####owned####already######conj_and####has####owned######det####one####a######dobj####owned####one######det####flashes####the######amod####flashes####highest######nn####flashes####quality######amod####flashes####external######prep_of####one####flashes######det####money####flashes######nsubj####buy####money######aux####buy####can######rcmod####flashes####buy######det####metz####the######dep####flashes####metz######dep####ct-4####60######amod####metz####ct-4
,,,"i_cant use my nikon external flash on a canon_camera , but i can use my metz , with the proper metz_module and extension_cord connected between the g3 and the 60 ct-4 .",nsubj####use####i_cant######poss####flash####my######amod####flash####nikon######amod####flash####external######dobj####use####flash######det####canon_camera####a######prep_on####use####canon_camera######nsubj####use####i######aux####use####can######conj_but####use####use######poss####metz####my######dobj####use####metz######det####metz_module####the######amod####metz_module####proper######prep_with####use####metz_module######prep_with####use####extension_cord######conj_and####metz_module####extension_cord######partmod####metz_module####connected######det####g3####the######prep_between####connected####g3######det####ct-4####the######num####ct-4####60######prep_between####connected####ct-4######conj_and####g3####ct-4
,,,"for those who have this metz_flash ( or the 45cl-3 ) and would like to get the absolute ultimate quality out of this g3 , the metz_module you need is the sca 3102 and the connector_cord is the sca 3000c .",nsubj####have####those######nsubj####like####those######prep_for####sca####those######rcmod####those####have######det####metz_flash####this######dobj####have####metz_flash######det####45cl-3####the######dobj####have####45cl-3######conj_or####metz_flash####45cl-3######aux####like####would######rcmod####those####like######conj_and####have####like######aux####get####to######xcomp####like####get######det####quality####the######amod####quality####absolute######amod####quality####ultimate######dobj####get####quality######det####g3####this######prep_out_of####get####g3######det####metz_module####the######dobj####need####metz_module######nsubj####sca####metz_module######nsubj####need####you######rcmod####metz_module####need######cop####sca####is######det####sca####the######nsubj####3000c####3102######det####connector_cord####the######conj_and####3102####connector_cord######nsubj####3000c####connector_cord######cop####3000c####is######det####3000c####the######nn####3000c####sca######rcmod####sca####3000c
,,,"in order for this to work , you have to set the camera to manual mode and set the shutter_speed and f-stop yourself .",prep_in####have####order######prep_for####order####this######prep_to####this####work######nsubj####have####you######xsubj####set####you######aux####set####to######xcomp####have####set######det####camera####the######dobj####set####camera######amod####mode####manual######prep_to####set####mode######xcomp####have####set######conj_and####set####set######det####shutter_speed####the######dobj####set####shutter_speed######dobj####set####f-stop######conj_and####shutter_speed####f-stop######dobj####set####yourself
flash,,,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon .",ccomp####does####contrary######dobj####read####what######nsubj####read####ive######prepc_to####contrary####read######advmod####read####elsewhere######det####g3####the######nsubj####does####g3######dobj####does####sync######prep_at####does####1\/250######det####second####a######prep_of####1\/250####second######amod####flashes####third-party######prep_with####second####flashes######advmod####does####just######dep####does####as######nsubj####does####it######dep####does####does######det####flashes####the######amod####flashes####dedicated######prep_with####does####flashes######prep_from####flashes####canon
,,,"you also have to set the g3 to second shutter_sync , which is what youd want to do most of the time_anyhow .",nsubj####have####you######xsubj####set####you######advmod####have####also######aux####set####to######xcomp####have####set######det####g3####the######dobj####set####g3######amod####shutter_sync####second######prep_to####set####shutter_sync######nsubj####is####shutter_sync######rcmod####shutter_sync####is######dep####want####what######nsubj####want####youd######xsubj####do####youd######ccomp####is####want######aux####do####to######xcomp####want####do######dobj####do####most######det####time_anyhow####the######prep_of####most####time_anyhow
,,,"then just forget about all the controls you have on the metz_flash head itself and the sca 3102 control_panel , because they are all ignored .",advmod####forget####then######advmod####forget####just######predet####controls####all######det####controls####the######prep_about####forget####controls######nsubj####on####you######aux####on####have######dep####forget####on######det####head####the######amod####head####metz_flash######pobj####on####head######advmod####head####itself######det####control_panel####the######number####3102####sca######num####control_panel####3102######pobj####on####control_panel######conj_and####head####control_panel######mark####ignored####because######nsubjpass####ignored####they######auxpass####ignored####are######advmod####ignored####all######dep####on####ignored
,,,"the g3 completely takes over controlling the duration of the metz_flash , and most of the time , the exposure is spot on and when it isnt , its because youve exceeded the range of the metz_flash itself .",det####g3####the######nsubj####takes####g3######advmod####takes####completely######dep####exceeded####takes######prepc_over####takes####controlling######det####duration####the######dobj####controlling####duration######det####metz_flash####the######prep_of####duration####metz_flash######nsubj####is####most######det####time####the######prep_of####most####time######det####exposure####the######appos####time####exposure######conj_and####takes####is######dep####exceeded####is######dep####is####spot######prt####spot####on######advmod####isnt####when######nsubj####isnt####it######dep####is####isnt######conj_and####spot####isnt######dobj####isnt####its######prep_because####isnt####youve######det####range####the######dobj####exceeded####range######det####metz_flash####the######prep_of####range####metz_flash######nsubj####exceeded####itself
,,,"this might happen if you get too close to the subject and you are not bounce-flashing , or if you are bounce flashing and the walls are simply too far away .",nsubj####happen####this######aux####happen####might######mark####happen####if######nsubj####happen####you######dep####happen####get######advmod####happen####too######det####subject####the######prep_close_to####happen####subject######nsubj####bounce-flashing####you######cop####bounce-flashing####are######neg####bounce-flashing####not######conj_and####happen####bounce-flashing######mark####flashing####if######nsubj####flashing####you######cop####flashing####are######advmod####flashing####bounce######conj_or####happen####flashing######det####walls####the######nsubj####are####walls######conj_and####happen####are######advmod####are####simply######advmod####away####too######advmod####away####far######advmod####are####away
,,,"unfortunately , the neutral density_filters for the metz_flash are no longer available , so the first problem_cant easily be solved .",advmod####available####unfortunately######det####density_filters####the######amod####density_filters####neutral######nsubj####available####density_filters######det####metz_flash####the######prep_for####density_filters####metz_flash######cop####available####are######advmod####available####no######advmod####no####longer######mark####solved####so######det####problem_cant####the######amod####problem_cant####first######nsubjpass####solved####problem_cant######advmod####solved####easily######auxpass####solved####be######advcl####available####solved
,,,the second problem is solved by more direct lighting from the metz ( with the attendant shadows unfortunately ) .,det####problem####the######amod####problem####second######nsubjpass####solved####problem######auxpass####solved####is######amod####lighting####more######amod####lighting####direct######agent####solved####lighting######det####metz####the######prep_from####lighting####metz######dep####solved####with######det####shadows####the######amod####shadows####attendant######pobj####with####shadows######dep####with####unfortunately
,,,"but once youve got your exposure within an acceptable range , the g3 is shown to produce utterly stunning_images that i can hardly get with my nikon f100_film camera .",cc####shown####but######mark####got####once######nsubj####got####youve######advcl####shown####got######poss####exposure####your######dobj####got####exposure######det####range####an######amod####range####acceptable######prep_within####got####range######det####g3####the######nsubjpass####shown####g3######xsubj####produce####g3######auxpass####shown####is######aux####produce####to######xcomp####shown####produce######advmod####stunning_images####utterly######acomp####produce####stunning_images######complm####get####that######nsubj####get####i######aux####get####can######advmod####get####hardly######ccomp####produce####get######poss####camera####my######amod####camera####nikon######amod####camera####f100_film######prep_with####get####camera
,,,"the 60 ct-4 flash head can actually be reversed 180 degrees and then tilted , enabling you to bounce the flash off the walls behind you .",det####head####the######num####head####60######amod####head####ct-4######nn####head####flash######nsubjpass####reversed####head######nsubjpass####tilted####head######aux####reversed####can######advmod####reversed####actually######auxpass####reversed####be######num####degrees####180######dobj####reversed####degrees######advmod####tilted####then######conj_and####reversed####tilted######xcomp####tilted####enabling######nsubj####bounce####you######aux####bounce####to######xcomp####enabling####bounce######det####flash####the######dobj####bounce####flash######det####walls####the######prep_off####bounce####walls######prep_behind####walls####you
,,,the results are shadow-free images that look as if theyve been exposed with the gentlest natural light you could imagine .,det####results####the######nsubj####images####results######cop####images####are######amod####images####shadow-free######nsubj####look####images######rcmod####images####look######conj_as####images####theyve######nsubj####look####theyve######auxpass####exposed####been######partmod####theyve####exposed######det####light####the######amod####light####gentlest######amod####light####natural######prep_with####exposed####light######dobj####imagine####light######nsubj####imagine####you######aux####imagine####could######rcmod####light####imagine
software,,,"now there is one more complaint_i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image_mode and the first thing_i did was replace the 32 mbyte_cf with a 512 mbyte_cf , which gives me 130 raw images , as opposed to 7 !",advmod####is####now######expl####is####there######num####complaint_i####one######amod####complaint_i####more######nsubj####have####complaint_i######dep####is####have######advmod####g3####about######det####g3####the######dobj####have####g3######nsubj####software####that######cop####software####is######det####software####the######dep####is####software######conj_and####have####software######nsubj####comes####software######rcmod####software####comes######prep_with####comes####it######prepc_for####comes####processing######amod####images####raw######dobj####processing####images######nsubj####gives####images######dep####shoot####i######amod####shoot####only######dep####images####shoot######amod####image_mode####raw######prep_in####shoot####image_mode######det####thing_i####the######amod####thing_i####first######prep_in####shoot####thing_i######conj_and####image_mode####thing_i######rcmod####thing_i####did######ccomp####did####was######ccomp####was####replace######det####mbyte_cf####the######num####mbyte_cf####32######dobj####replace####mbyte_cf######det####mbyte_cf####a######num####mbyte_cf####512######prep_with####replace####mbyte_cf######rcmod####images####gives######iobj####gives####me######num####images####130######amod####images####raw######dobj####gives####images######advmod####opposed####as######amod####images####opposed######prep_to####processing####7
