finding,,,finding a particular song ( s ) or album on the nomad jukebox is fast and easy .,csubj####fast####finding######csubj####easy####finding######det####song####a######amod####song####particular######dobj####finding####song######dep####song####s######dobj####finding####album######conj_or####song####album######det####jukebox####the######amod####jukebox####nomad######prep_on####album####jukebox######cop####fast####is######conj_and####fast####easy
,,,i like to play my music by album and the nomad jukebox plays the songs in the same order as the actual cd .,nsubj####like####i######xsubj####play####i######aux####play####to######xcomp####like####play######poss####music####my######dobj####play####music######prep_by####play####album######det####jukebox####the######amod####jukebox####nomad######nsubj####plays####jukebox######conj_and####like####plays######det####songs####the######dobj####plays####songs######det####order####the######amod####order####same######prep_in####plays####order######det####cd####the######amod####cd####actual######prep_as####order####cd
screen,,,the high resolution_screen is easy to read and has a backlight .,det####resolution_screen####the######amod####resolution_screen####high######nsubj####easy####resolution_screen######nsubj####has####resolution_screen######cop####easy####is######aux####read####to######xcomp####easy####read######conj_and####easy####has######det####backlight####a######dobj####has####backlight
"use, playback quality,price",,,"i can highly recommend this product because of its ease of use ( hardware and software ) , playback quality and value for the price .",nsubj####recommend####i######aux####recommend####can######advmod####recommend####highly######det####product####this######dobj####recommend####product######poss####ease####its######prep_because_of####product####ease######prep_of####ease####use######dep####use####hardware######dep####use####software######conj_and####hardware####software######nn####quality####playback######prep_of####ease####quality######conj_and####use####quality######prep_of####ease####value######conj_and####use####value######det####price####the######prep_for####recommend####price
,,player,just bought one & i 've enjoyed it to date .,advmod####bought####just######nsubj####bought####one######cc####one####&######nsubj####enjoyed####i######aux####enjoyed####'ve######rcmod####one####enjoyed######dobj####enjoyed####it######prep_to####enjoyed####date
size,,,"nice palm sized unit , somewhat bigger then the ipod but not an issue if you 're not going to try & jog with it or something .",amod####palm####nice######nsubj####sized####palm######dobj####sized####unit######advmod####bigger####somewhat######amod####unit####bigger######prep####sized####then######det####ipod####the######dep####then####ipod######det####issue####an######dep####then####issue######conj_negcc####ipod####issue######mark####going####if######nsubj####going####you######xsubj####try####you######aux####going####'re######neg####going####not######advcl####sized####going######aux####try####to######xcomp####going####try######cc####jog####&######dobj####try####jog######prep_with####try####it######prep_with####try####something######conj_or####it####something
sound quality,,,"all reviews i 've seen seem to indicate that the creative mp3_jukeboxes have the best sound quality of these 2nd generation_jukeboxed ( ipod , archos , dell , samsung ) .",nsubj####reviews####all######nsubj####seen####i######aux####seen####'ve######ccomp####reviews####seen######ccomp####seen####seem######aux####indicate####to######xcomp####seem####indicate######complm####have####that######det####mp3_jukeboxes####the######amod####mp3_jukeboxes####creative######nsubj####have####mp3_jukeboxes######ccomp####indicate####have######det####quality####the######dep####sound####best######amod####quality####sound######dobj####have####quality######det####generation_jukeboxed####these######amod####generation_jukeboxed####2nd######prep_of####quality####generation_jukeboxed######nn####dell####ipod######dep####dell####archos######appos####generation_jukeboxed####dell######dep####dell####samsung
eax,,,the eax settings are somewhat superfluous but not really a negative .,det####settings####the######nn####settings####eax######nsubj####superfluous####settings######nsubj####negative####settings######cop####superfluous####are######advmod####superfluous####somewhat######advmod####negative####really######det####negative####a######conj_negcc####superfluous####negative
player,,,"i 've tried the belkin fm_transmitter unit with it & it worked well when i set it on top of a portable radio , but was awful trying to use in the car which is somewhat of a disappointment .",nsubj####tried####i######aux####tried####'ve######det####unit####the######nn####unit####belkin######nn####unit####fm_transmitter######dobj####tried####unit######prep_with####unit####it######dobj####tried####it######conj_and####unit####it######partmod####it####worked######advmod####worked####well######advmod####set####when######nsubj####set####i######nsubj####awful####i######advcl####worked####set######dobj####set####it######det####radio####a######amod####radio####portable######prep_on_top_of####set####radio######cop####awful####was######advcl####worked####awful######conj_but####set####awful######dep####awful####trying######aux####use####to######xcomp####trying####use######det####car####the######prep_in####use####car######nsubj####is####car######rcmod####car####is######advmod####is####somewhat######det####disappointment####a######prep_of####is####disappointment
,,,dislikes
control,,,- the controls are much inferior to the simple ipod ones .,det####controls####the######nsubj####inferior####controls######cop####inferior####are######advmod####inferior####much######det####ones####the######amod####ones####simple######amod####ones####ipod######prep_to####inferior####ones
fly wheel,,,the black fly_wheel feels pretty cheap & is uncomfortable to use .,det####fly_wheel####the######amod####fly_wheel####black######nsubj####feels####fly_wheel######advmod####cheap####pretty######acomp####feels####cheap######nsubj####uncomfortable####&######cop####uncomfortable####is######ccomp####cheap####uncomfortable######aux####use####to######xcomp####uncomfortable####use
button,,,the locations of various buttons on one side or the other is somewhat illogical,det####locations####the######nsubj####illogical####locations######amod####buttons####various######prep_of####locations####buttons######num####side####one######prep_on####buttons####side######det####other####the######prep_on####buttons####other######conj_or####side####other######cop####illogical####is######advmod####illogical####somewhat
software,,,- included creative software is pretty poor .,amod####software####creative######nsubj####poor####software######cop####poor####is######advmod####poor####pretty######ccomp####included####poor
,,,red chair 's notmad explorer is great & recommended by about every reviewer to repleace the creative jukebox_software .,amod####chair####red######poss####explorer####chair######amod####explorer####notmad######nsubj####great####explorer######cop####great####is######nsubj####recommended####&######ccomp####great####recommended######dep####recommended####by######det####reviewer####every######prep_about####recommended####reviewer######aux####repleace####to######infmod####reviewer####repleace######det####jukebox_software####the######amod####jukebox_software####creative######dobj####repleace####jukebox_software
,,,"note : this will add about $ 30 to the price to purchase , but worth it",dep####add####note######nsubj####add####this######aux####add####will######quantmod####$####about######dobj####add####$######dobj####add####$######conj_but####$####$######number####$####30######det####price####the######prep_to####$####price######aux####purchase####to######infmod####price####purchase######prep_worth####$####it
,,,likes
price,,,- great value 40gb vs 10 gb_ipod for the price,nn####40gb####value######dep####great####40gb######cc####10####vs######dep####gb_ipod####10######amod####40gb####gb_ipod######det####price####the######prep_for####40gb####price
sound,,,- best in class_sound,prep_in####best####class_sound
screen,,,- large easy readable screen,dep####large####easy######amod####screen####readable######dep####easy####screen
,,,"after receiving the box from amazon , i proceeded with charging the unit for the specified 4 hours , after which i installed the software and connected the unit to my pc via usb 2.0 .",prepc_after####proceeded####receiving######det####box####the######dobj####receiving####box######prep_from####receiving####amazon######nsubj####proceeded####i######prepc_with####proceeded####charging######det####unit####the######dobj####charging####unit######det####hours####the######amod####hours####specified######num####hours####4######prep_for####unit####hours######rel####installed####which######nsubj####installed####i######nsubj####connected####i######rcmod####hours####installed######det####software####the######dobj####installed####software######rcmod####hours####connected######conj_and####installed####connected######det####unit####the######dobj####connected####unit######poss####pc####my######prep_to####connected####pc######prep_via####pc####usb######num####usb####2.0
,,,"the pc quickly picked up on it and attempted to install the software , which failed , as creative chose not to follow microsoft standards , whatever .",det####pc####the######nsubj####picked####pc######nsubj####attempted####pc######xsubj####install####pc######advmod####picked####quickly######prt####picked####up######prep_on####picked####it######conj_and####picked####attempted######aux####install####to######xcomp####attempted####install######det####software####the######nsubj####failed####software######nsubj####whatever####software######rcmod####software####failed######mark####chose####as######nsubj####chose####creative######xsubj####follow####creative######advcl####failed####chose######neg####follow####not######aux####follow####to######xcomp####chose####follow######amod####standards####microsoft######dobj####follow####standards######xcomp####install####whatever
,,,"i then installed the software manually instead , after having to click past about 5 windows of `` please register with us so we can spam your inbox `` .",nsubj####installed####i######advmod####installed####then######det####software####the######dobj####installed####software######advmod####installed####manually######advmod####installed####instead######prepc_after####installed####having######aux####click####to######xcomp####having####click######dep####click####past######advmod####5####about######dep####past####5######punct####of####windows######dep####5####of######dep####of####please######dobj####please####register######prep_with####please####us######mark####spam####so######nsubj####spam####we######aux####spam####can######advcl####please####spam######poss####inbox####your######dobj####spam####inbox
,,,"at this time , i decided to turn the player on , and much to my surprise it comes with quite the little library of classical music , one of which is a childhood_favorite , bach 's air .",dep####decided####at######det####time####this######pobj####at####time######nsubj####decided####i######xsubj####turn####i######aux####turn####to######xcomp####decided####turn######det####player####the######dobj####turn####player######prt####turn####on######advmod####comes####much######dep####much####to######poss####surprise####my######pobj####to####surprise######nsubj####comes####it######conj_and####decided####comes######advmod####library####quite######det####library####the######amod####library####little######prep_with####comes####library######amod####music####classical######prep_of####library####music######prep_of####one####music######nsubj####childhood_favorite####one######cop####childhood_favorite####is######det####childhood_favorite####a######rcmod####music####childhood_favorite######poss####air####bach######appos####childhood_favorite####air
play,,,"i tried to play the song three times , with no success .",nsubj####tried####i######xsubj####play####i######aux####play####to######xcomp####tried####play######det####song####the######iobj####play####song######num####times####three######dobj####play####times######det####success####no######prep_with####play####success
play,,,"it would either not play the song at all , or skip wildly , no matter that the unit was resting on my desk .",nsubj####play####it######nsubj####skip####it######aux####play####would######advmod####play####either######neg####play####not######det####song####the######dobj####play####song######advmod####play####at######dep####at####all######conj_or####play####skip######advmod####skip####wildly######dep####matter####no######advmod####skip####matter######complm####resting####that######det####unit####the######nsubj####resting####unit######cop####resting####was######dep####matter####resting######poss####desk####my######prep_on####resting####desk
,,,"well , maybe that particular song was just corrupt , so i tried to upload some of my own , after four attempts , at each one the unit locked up and required a reboot , i managed to upload an album , which albeit was surprisingly fast , however when attempting to create a playlist out of my newly uploaded songs , the nomad again froze up and refused to work ."
,,,"i made an additional five attempts at creating a playlist , before packing the unit up and heading over to amazon 's product_return page .",nsubj####made####i######det####attempts####an######amod####attempts####additional######num####attempts####five######dobj####made####attempts######prepc_at####made####creating######det####playlist####a######dobj####creating####playlist######prepc_before####made####packing######det####unit####the######dobj####packing####unit######prt####packing####up######prepc_before####made####heading######conj_and####packing####heading######prt####heading####over######poss####page####amazon######nn####page####product_return######prep_to####heading####page
,,,"needless to say , i would n't recommend anyone purchasing this product .",ccomp####recommend####needless######aux####say####to######xcomp####needless####say######nsubj####recommend####i######aux####recommend####would######neg####recommend####n't######dobj####recommend####anyone######partmod####anyone####purchasing######det####product####this######dobj####purchasing####product
software,,,"had there been strange noises , or obvious defects , i would have accepted a replacement , but this is clearly from a defective and inferior operating_system and i for one do not intend on waiting for patches .",aux####noises####had######advmod####noises####there######cop####noises####been######amod####noises####strange######ccomp####accepted####noises######amod####defects####obvious######conj_or####noises####defects######ccomp####accepted####defects######nsubj####accepted####i######aux####accepted####would######aux####accepted####have######det####replacement####a######dobj####accepted####replacement######nsubj####is####this######conj_but####accepted####is######advmod####is####clearly######det####operating_system####a######amod####operating_system####defective######conj_and####defective####inferior######amod####operating_system####inferior######prep_from####is####operating_system######nsubj####intend####i######prep_for####i####one######aux####intend####do######neg####intend####not######conj_but####accepted####intend######conj_and####is####intend######prepc_on####intend####waiting######prep_for####waiting####patches
,,,charged my battery .,poss####battery####my######dobj####charged####battery
,,,plugged it in .,dobj####plugged####it######prep####plugged####in
,,,installed software .,amod####software####installed
,,,started ripping and transferring .,xcomp####started####ripping######xcomp####started####transferring######conj_and####ripping####transferring
,,,"if you arent hooked up to cddb to get the album_info i_guess you have to manually input the stuff , but that little work will save you looking for songs .",mark####arent####if######nsubj####arent####you######xsubj####cddb####you######csubj####i_guess####arent######dep####arent####hooked######prt####hooked####up######aux####cddb####to######xcomp####hooked####cddb######aux####get####to######xcomp####cddb####get######det####album_info####the######dobj####get####album_info######nsubj####have####you######xsubj####input####you######ccomp####i_guess####have######aux####input####to######advmod####input####manually######xcomp####have####input######det####stuff####the######dobj####input####stuff######complm####save####that######amod####work####little######nsubj####save####work######aux####save####will######ccomp####i_guess####save######conj_but####have####save######nsubj####looking####you######dep####save####looking######prep_for####looking####songs
,,,i 've got 1200 songs on it now and about 4000 more to go .,nsubj####got####i######xsubj####go####i######aux####got####'ve######num####songs####1200######advmod####got####songs######dep####songs####on######pobj####on####it######dep####on####now######quantmod####4000####about######dep####more####4000######advmod####got####more######conj_and####songs####more######aux####go####to######xcomp####got####go
,,player,working for 10 hours with it on `` shuffle `` totally rocks ! !
,,player,i love it ! !
,,,i bought this only to have it break within a month .,nsubj####bought####i######dep####only####this######dobj####bought####only######aux####have####to######xcomp####bought####have######nsubj####break####it######ccomp####have####break######det####month####a######prep_within####break####month
,,player,this product is too fragile for normal use .,det####product####this######nsubj####fragile####product######cop####fragile####is######advmod####fragile####too######amod####use####normal######prep_for####fragile####use
,,,i received this as a gift .,nsubj####received####i######dobj####received####this######det####gift####a######prep_as####received####gift
software,,,i had no problems setting up the software and getting my favorite cd 's transferred .,nsubjpass####transferred####i######partmod####i####had######det####problems####no######dobj####had####problems######dep####had####setting######prt####setting####up######det####software####the######dobj####setting####software######dep####had####getting######conj_and####setting####getting######poss####cd####my######amod####cd####favorite######dobj####getting####cd######auxpass####transferred####'s
software,,,"however , the creative software is not real intuitive .",advmod####intuitive####however######det####software####the######amod####software####creative######nsubj####intuitive####software######cop####intuitive####is######neg####intuitive####not######advmod####intuitive####real
software,,,"the software is somewhat nice to look at , using it is not the easiest .",det####software####the######nsubj####nice####software######xsubj####look####software######cop####nice####is######advmod####nice####somewhat######aux####look####to######xcomp####nice####look######prep####look####at######xcomp####look####using######nsubj####easiest####it######cop####easiest####is######neg####easiest####not######det####easiest####the######ccomp####using####easiest
rename,,,"if you want to rename a cd_title that you have already transferred , you will become frustrated quite quickly .",mark####want####if######nsubj####want####you######xsubj####rename####you######advcl####frustrated####want######aux####rename####to######xcomp####want####rename######det####cd_title####a######dobj####rename####cd_title######complm####transferred####that######nsubj####transferred####you######aux####transferred####have######advmod####transferred####already######ccomp####rename####transferred######nsubjpass####frustrated####you######aux####frustrated####will######auxpass####frustrated####become######advmod####quickly####quite######advmod####frustrated####quickly
,,,"you are better off deleting it , re-ripping it with the new title and then transferring it to the player .",nsubj####better####you######cop####better####are######dep####better####off######dep####better####deleting######dobj####deleting####it######dep####better####re-ripping######conj_and####deleting####re-ripping######dobj####re-ripping####it######det####title####the######amod####title####new######prep_with####re-ripping####title######advmod####transferring####then######dep####better####transferring######conj_and####deleting####transferring######dobj####transferring####it######det####player####the######prep_to####transferring####player
transfer,,,transfers are surprisingly quick through usb 2.0 .,nsubj####quick####transfers######cop####quick####are######advmod####quick####surprisingly######prep_through####quick####usb######num####usb####2.0
sound,,,"it is great sounding , even with the supplied earbuds .",nsubj####great####it######cop####great####is######xcomp####great####sounding######advmod####sounding####even######det####earbuds####the######amod####earbuds####supplied######prep_with####sounding####earbuds
earbud,,,"i must have differing preferences than others here , as i prefer the supplied earbuds to the sony 's that i thought sounded good on other players .",nsubj####have####i######aux####have####must######amod####preferences####differing######dobj####have####preferences######prep_than####preferences####others######advmod####others####here######mark####prefer####as######nsubj####prefer####i######advcl####have####prefer######det####earbuds####the######amod####earbuds####supplied######nsubj####'s####earbuds######det####sony####the######prep_to####earbuds####sony######ccomp####prefer####'s######complm####thought####that######nsubj####thought####i######ccomp####'s####thought######ccomp####thought####sounded######acomp####sounded####good######amod####players####other######prep_on####sounded####players
storage,,,i love the storage in this thing .,dep####love####i######det####storage####the######dobj####love####storage######det####thing####this######prep_in####storage####thing
,,,i have 100 of my cd 's transferred and have n't made a dent in the 30 gb_drive .,dep####have####i######dobj####have####100######poss####cd####my######poss####transferred####cd######prep_of####100####transferred######aux####made####have######neg####made####n't######conj_and####have####made######det####dent####a######dobj####made####dent######det####gb_drive####the######num####gb_drive####30######prep_in####dent####gb_drive
,,,"i doubt_i will use half of the storage_capacity , but you never know .",dep####use####i######nsubj####use####doubt_i######aux####use####will######dobj####use####half######det####storage_capacity####the######prep_of####half####storage_capacity######nsubj####know####you######neg####know####never######conj_but####use####know
,,,this is definitely opening up possibilities to obtaining mp3 's in which i would have never purchased the cd .,nsubj####opening####this######aux####opening####is######advmod####opening####definitely######prt####opening####up######dobj####opening####possibilities######prepc_to####possibilities####obtaining######dobj####obtaining####mp3######rel####purchased####which######nsubj####purchased####i######aux####purchased####would######aux####purchased####have######neg####purchased####never######rcmod####possibilities####purchased######det####cd####the######dobj####purchased####cd
,,,now my dissapointments .,advmod####dissapointments####now######nsubj####dissapointments####my
,,,the description of the warranty is buried on the supplied set up cd .,det####description####the######nsubjpass####buried####description######det####warranty####the######prep_of####description####warranty######auxpass####buried####is######det####supplied####the######prep_on####buried####supplied######partmod####supplied####set######prt####set####up######dobj####set####cd
,,,the warranty is 90 days .,det####warranty####the######nsubj####days####warranty######cop####days####is######num####days####90
,,warranty,this is ridiculous .,nsubj####ridiculous####this######cop####ridiculous####is
,,,to me this alludes to the manufacturer 's confidence that the product will last for a year .,prep_to####alludes####me######nsubj####alludes####this######det####manufacturer####the######poss####confidence####manufacturer######prep_to####alludes####confidence######complm####last####that######det####product####the######nsubj####last####product######aux####last####will######ccomp####alludes####last######det####year####a######prep_for####last####year
,,,"buy the re-seller 's extended warranty and save yourself a headache for the problems you will have later , after all it is a hard drive and it will die or have issues over time ( probably sooner than later ) .",det####re-seller####the######poss####warranty####re-seller######amod####warranty####extended######dobj####buy####warranty######conj_and####buy####save######iobj####save####yourself######det####headache####a######dobj####save####headache######det####problems####the######prep_for####headache####problems######nsubj####have####you######aux####have####will######rcmod####headache####have######dobj####have####later######mark####drive####after######advmod####drive####all######nsubj####drive####it######cop####drive####is######det####drive####a######amod####drive####hard######advcl####have####drive######nsubj####die####it######aux####die####will######advcl####have####die######conj_and####drive####die######conj_or####buy####have######dobj####have####issues######prep_over####issues####time######dep####time####probably######advmod####later####sooner######dep####later####than######dep####probably####later
scroll wheel,,,"the scroll_wheel , to be blunt , sucks .",det####scroll_wheel####the######nsubj####sucks####scroll_wheel######aux####blunt####to######cop####blunt####be######dep####sucks####blunt
,,scroll wheel,seems it is always difficult to press to make a selection .,nsubj####difficult####it######cop####difficult####is######advmod####difficult####always######ccomp####seems####difficult######aux####press####to######xcomp####difficult####press######aux####make####to######xcomp####press####make######det####selection####a######dobj####make####selection
interface,,,the interface used could be better designed .,det####interface####the######nsubjpass####designed####interface######partmod####interface####used######aux####designed####could######auxpass####designed####be######advmod####designed####better
,,interface,it is a little cumbersome to scroll through so many levels to get to the selection you want .,nsubj####cumbersome####it######xsubj####scroll####it######cop####cumbersome####is######dep####little####a######measure####cumbersome####little######aux####scroll####to######xcomp####cumbersome####scroll######advmod####many####so######amod####levels####many######prep_through####scroll####levels######aux####get####to######xcomp####scroll####get######det####selection####the######prep_to####get####selection######dobj####want####selection######nsubj####want####you######rcmod####selection####want
,,,"i am a software_engineer and if i wrote an interface to my software that worked like this , there would be hell to pay , not to mention the ridicule from my peers .",nsubj####software_engineer####i######nsubj####hell####i######cop####software_engineer####am######det####software_engineer####a######mark####wrote####if######nsubj####wrote####i######advcl####hell####wrote######det####interface####an######dobj####wrote####interface######poss####software####my######prep_to####wrote####software######nsubj####worked####software######rcmod####software####worked######prep_like####worked####this######expl####hell####there######aux####hell####would######cop####hell####be######conj_and####software_engineer####hell######prep_to####hell####pay######det####ridicule####the######prep_to####hell####ridicule######conj_and####pay####ridicule######poss####peers####my######prep_from####ridicule####peers
case,,,"and the case , how did this ever make it out of quality_control .",det####case####the######dep####and####case######advmod####did####how######rcmod####case####did######nsubj####make####this######advmod####make####ever######ccomp####did####make######dobj####make####it######prt####make####out######prep_of####did####quality_control
,,case,"it is some protection for the unit , but for useability , forget it .",nsubj####protection####it######cop####protection####is######det####protection####some######det####unit####the######prep_for####protection####unit######advmod####forget####but######dep####but####for######dep####for####useability######dep####protection####forget######dobj####forget####it
,,,"the screen is covered , so to make any new selections you have to open it .",det####screen####the######nsubj####covered####screen######xsubj####make####screen######cop####covered####is######advmod####make####so######aux####make####to######xcomp####covered####make######det####selections####any######amod####selections####new######dobj####make####selections######dobj####have####selections######nsubj####have####you######xsubj####open####you######rcmod####selections####have######aux####open####to######xcomp####have####open######dobj####open####it
control,,,"the cut-outs for the controls is not thought out as there is too much material in the way to adequately access the controls , especially the scroll_wheel .",det####cut-outs####the######nsubjpass####thought####cut-outs######det####controls####the######prep_for####cut-outs####controls######auxpass####thought####is######neg####thought####not######prt####thought####out######mark####is####as######expl####is####there######xsubj####access####there######advcl####thought####is######advmod####material####too######advmod####material####much######acomp####is####material######det####way####the######prep_in####material####way######aux####access####to######advmod####access####adequately######xcomp####is####access######det####controls####the######dobj####access####controls######advmod####controls####especially######det####scroll_wheel####the######dep####controls####scroll_wheel
,,,"there are no other aftermarket_cases available for this model yet , so you have to live with it .",expl####are####there######advmod####are####no######amod####aftermarket_cases####other######dep####no####aftermarket_cases######acomp####are####available######det####model####this######prep_for####available####model######advmod####are####yet######dep####are####so######nsubj####have####you######xsubj####live####you######ccomp####are####have######aux####live####to######xcomp####have####live######prep_with####live####it
,,player,"despite the things that i have listed so far , i could live with this item since it saves me from lugging a cd_case to work , to the gym , in the car , etc . ."
lock up,,,however the main reason_i am not satisfied with this product is the fact that it will lock up at odd times .,advmod####satisfied####however######det####reason_i####the######amod####reason_i####main######nsubjpass####satisfied####reason_i######auxpass####satisfied####am######neg####satisfied####not######mark####fact####with######det####product####this######nsubj####fact####product######cop####fact####is######det####fact####the######ccomp####satisfied####fact######complm####lock####that######nsubj####lock####it######aux####lock####will######ccomp####fact####lock######prt####lock####up######amod####times####odd######prep_at####lock####times
,,,i have had it lock up after a transfer of music .,dep####had####i######aux####had####have######nsubj####lock####it######ccomp####had####lock######prt####lock####up######det####transfer####a######prep_after####lock####transfer######prep_of####transfer####music
,,,"the files are there , but i could not access the player without removing the battery , waiting a short period and re-inserting the battery .",det####files####the######nsubj####are####files######advmod####are####there######nsubj####access####i######aux####access####could######neg####access####not######conj_but####are####access######det####player####the######dobj####access####player######prepc_without####access####removing######det####battery####the######dobj####removing####battery######prepc_without####access####waiting######conj_and####removing####waiting######det####period####a######amod####period####short######dobj####waiting####period######prepc_without####access####re-inserting######conj_and####removing####re-inserting######det####battery####the######dobj####re-inserting####battery
,,,also have had it lock up when i shut it down to attend to a phone_call .,advmod####had####also######aux####had####have######nsubj####lock####it######ccomp####had####lock######prt####lock####up######advmod####shut####when######nsubj####shut####i######xsubj####attend####i######advcl####had####shut######dobj####shut####it######prt####shut####down######aux####attend####to######xcomp####shut####attend######det####phone_call####a######prep_to####shut####phone_call
,,,left it set on my desk came back five minutes later and it just wanted to keep playing the same song over and over .,csubj####came####left######nsubj####set####it######ccomp####left####set######poss####desk####my######prep_on####set####desk######advmod####came####back######num####minutes####five######dobj####came####minutes######advmod####minutes####later######nsubj####wanted####it######xsubj####keep####it######advmod####wanted####just######conj_and####came####wanted######aux####keep####to######xcomp####wanted####keep######xcomp####keep####playing######det####song####the######amod####song####same######dobj####playing####song######advmod####playing####over######advmod####playing####over######conj_and####over####over
,,,"could not stop it , could not get out of the `` now playing `` screen .",aux####stop####could######neg####stop####not######ccomp####get####stop######dobj####stop####it######aux####get####could######neg####get####not######prep_out_of####get####the######advmod####playing####now######partmod####the####playing######dobj####playing####screen
,,,again had to remove the battery .,advmod####had####again######aux####remove####to######xcomp####had####remove######det####battery####the######dobj####remove####battery
,,,"there have been other occurrences of locking , but i will not bore you with the details .",expl####occurrences####there######aux####occurrences####have######cop####occurrences####been######amod####occurrences####other######prepc_of####occurrences####locking######nsubj####bore####i######aux####bore####will######neg####bore####not######conj_but####occurrences####bore######dobj####bore####you######det####details####the######prep_with####bore####details
firmware,,,"quite simply , the firmware and / or the os that control this thing is not ready for prime time .",advmod####ready####quite######advmod####quite####simply######det####firmware####the######nsubj####ready####firmware######conj_and####firmware####\/######nsubj####ready####\/######det####os####the######conj_or####firmware####os######nsubj####control####os######nsubj####ready####os######rcmod####os####control######det####thing####this######dobj####control####thing######cop####ready####is######neg####ready####not######amod####time####prime######prep_for####ready####time
,,,"there have also been times that the unit has been turned off for some period of time , upon powering it up it starts on the `` now playing `` screen with a song or cd that i had been playing days before .",expl####times####there######aux####times####have######advmod####times####also######cop####times####been######dep####starts####times######complm####turned####that######det####unit####the######nsubjpass####turned####unit######aux####turned####has######auxpass####turned####been######ccomp####times####turned######prt####turned####off######det####period####some######prep_for####turned####period######prep_of####period####time######prepc_upon####turned####powering######dobj####powering####it######prt####powering####up######nsubj####starts####it######nsubj####playing####the######advmod####playing####now######prepc_on####starts####playing######dobj####playing####screen######det####song####a######prep_with####screen####song######prep_with####screen####cd######conj_or####song####cd######complm####playing####that######nsubj####playing####i######aux####playing####had######aux####playing####been######ccomp####playing####playing######tmod####playing####days######advmod####playing####before
,,,"i have n't quite figured this one out yet , but it is probably operator error .",nsubj####figured####i######aux####figured####have######neg####figured####n't######advmod####figured####quite######det####one####this######dobj####figured####one######prt####figured####out######dep####figured####yet######nsubj####error####it######cop####error####is######advmod####error####probably######nn####error####operator######conj_but####figured####error
,,,"now i have not owned other mp3_players as i was waiting until they matured , but since i received it as a gift_i now have this one .",advmod####owned####now######nsubj####owned####i######aux####owned####have######neg####owned####not######amod####mp3_players####other######dobj####owned####mp3_players######mark####waiting####as######nsubj####waiting####i######aux####waiting####was######advcl####owned####waiting######mark####matured####until######nsubj####matured####they######dep####waiting####matured######mark####received####since######nsubj####received####i######dep####waiting####received######conj_but####matured####received######dobj####received####it######mark####have####as######det####gift_i####a######nsubj####have####gift_i######advmod####have####now######advcl####received####have######det####one####this######dobj####have####one
,,,i would suspect that there are similar problems with all of the other brands as this is somewhat new technology .,nsubj####suspect####i######aux####suspect####would######complm####are####that######expl####are####there######ccomp####suspect####are######amod####problems####similar######nsubj####are####problems######prep_with####problems####all######det####brands####the######amod####brands####other######prep_of####all####brands######mark####technology####as######nsubj####technology####this######cop####technology####is######advmod####technology####somewhat######amod####technology####new######dep####brands####technology
,,,and we all know about the rush to market on new products .,dep####and####we######dobj####know####we######nsubj####know####all######rcmod####we####know######det####rush####the######prep_about####know####rush######aux####market####to######infmod####rush####market######amod####products####new######prep_on####market####products
,,,"i have had this player for 2 weeks , i will be returning it for an exchange in the hopes that the locking_problem and scroll_wheel are problems with this particular unit .",nsubj####had####i######aux####had####have######ccomp####returning####had######det####player####this######dobj####had####player######num####weeks####2######prep_for####player####weeks######nsubj####returning####i######aux####returning####will######aux####returning####be######dobj####returning####it######det####exchange####an######prep_for####returning####exchange######det####hopes####the######prep_in####exchange####hopes######complm####problems####that######det####locking_problem####the######nsubj####problems####locking_problem######conj_and####locking_problem####scroll_wheel######nsubj####problems####scroll_wheel######cop####problems####are######ccomp####returning####problems######det####unit####this######amod####unit####particular######prep_with####problems####unit
,,,while i am at the store_i will definitely get the extended warranty as i have another day or so ( from the purchase_date ) to obtain one .,mark####am####while######nsubj####am####i######csubj####get####am######det####store_i####the######prep_at####am####store_i######aux####get####will######advmod####get####definitely######det####warranty####the######amod####warranty####extended######dobj####get####warranty######mark####have####as######nsubj####have####i######advcl####get####have######det####day####another######tmod####have####day######advcl####get####so######conj_or####have####so######dep####so####from######det####purchase_date####the######pobj####from####purchase_date######aux####obtain####to######dep####so####obtain######dobj####obtain####one
warranty,,,"i know this unit will have problems in the future and the $ 40 for the 2 year `` no questions asked `` replacement_warranty will be worth it , since creative will only warrant it for 90 days - which in itself is totally ridiculous !",dep####know####i######det####unit####this######nsubj####have####unit######aux####have####will######ccomp####know####have######dobj####have####problems######det####future####the######prep_in####problems####future######det####$####the######dobj####have####$######conj_and####problems####$######num####$####40######det####year####the######num####year####2######prep_for####$####year######det####questions####no######nsubj####worth####questions######partmod####questions####asked######advmod####asked####replacement_warranty######aux####worth####will######cop####worth####be######dep####have####worth######dep####worth####it######mark####warrant####since######nsubj####warrant####creative######aux####warrant####will######advmod####warrant####only######advcl####worth####warrant######dobj####warrant####it######num####days####90######prep_for####warrant####days######nsubj####ridiculous####which######prep_in####ridiculous####itself######cop####ridiculous####is######advmod####ridiculous####totally######rcmod####days####ridiculous
player,,,"this is my second creative labs_mp3 player , and it is definitely a fine product .",nsubj####player####this######cop####player####is######poss####player####my######amod####player####second######amod####player####creative######amod####player####labs_mp3######nsubj####product####it######cop####product####is######advmod####product####definitely######det####product####a######amod####product####fine######conj_and####player####product
,,,first let me give you the bad things :,advmod####let####first######nsubj####give####me######ccomp####let####give######dobj####give####you######det####things####the######amod####things####bad######nsubj####let####things
"size,weight",,,"1 . the size is a little bit bigger than the ipod , and it weighs a little bit more ."
