,,,the radio :,det####radio####the
radio,,,this phone is one of the few phones that have an fm radio_tuner built in .,det####phone####this######nsubj####one####phone######cop####one####is######det####phones####the######amod####phones####few######prep_of####one####phones######nsubj####have####phones######rcmod####phones####have######det####radio_tuner####an######nn####radio_tuner####fm######dobj####have####radio_tuner######partmod####radio_tuner####built######prep####built####in
radio,,,"this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming in clearly the phone 's radio should work perfectly .",det####radio####this######nsubj####receives####radio######dep####work####receives######advmod####decent####fairly######acomp####receives####decent######dep####decent####reception######acomp####receives####not######conj_but####decent####not######neg####decent####not######advmod####good####nearly######advmod####good####as######dep####decent####good######det####radio####a######amod####radio####normal######prep_as####good####radio######advmod####long####as######acomp####receives####long######conj_but####decent####long######mark####coming####as######det####stations####the######nsubj####coming####stations######aux####coming####are######advcl####receives####coming######prt####coming####in######advmod####coming####clearly######det####phone####the######poss####radio####phone######nsubj####work####radio######aux####work####should######advmod####work####perfectly
,,,tri-band :
feature,,,"one highly beneficial feature of this phone ( at least to me ) is that it can be used anywhere in the world except a few countries that do not use gsm , a few in asia .",num####feature####one######advmod####beneficial####highly######amod####feature####beneficial######nsubj####is####feature######det####phone####this######prep_of####feature####phone######dep####phone####at######dep####at####least######dep####at####to######pobj####to####me######complm####used####that######nsubjpass####used####it######aux####used####can######auxpass####used####be######ccomp####is####used######advmod####used####anywhere######det####world####the######prep_in####used####world######det####countries####a######amod####countries####few######prep_except####world####countries######nsubj####use####countries######aux####use####do######neg####use####not######rcmod####countries####use######dobj####use####gsm######det####few####a######appos####gsm####few######prep_in####few####asia
phone,,,i bought this phone for my trip to south africa and it worked almost perfectly .,nsubj####bought####i######det####phone####this######dobj####bought####phone######poss####trip####my######prep_for####bought####trip######amod####africa####south######prep_to####bought####africa######nsubj####worked####it######conj_and####bought####worked######advmod####perfectly####almost######advmod####worked####perfectly
t-mobile,,,the only problem_i had was a small glitch with t-mobile .,det####problem_i####the######amod####problem_i####only######nsubj####glitch####problem_i######aux####glitch####had######cop####glitch####was######det####glitch####a######amod####glitch####small######prep_with####glitch####t-mobile
reception,,,anywhere i went in south_africa this phone received full bar_reception .,advmod####went####anywhere######nsubj####went####i######prep_in####received####south_africa######det####phone####this######nsubj####received####phone######ccomp####went####received######amod####bar_reception####full######dobj####received####bar_reception
,,,"if it worked like that in south africa , i imagine it would just work without a hitch in europe .",mark####worked####if######nsubj####worked####it######advcl####imagine####worked######prep_like####worked####that######amod####africa####south######prep_in####that####africa######nsubj####imagine####i######nsubj####work####it######aux####work####would######advmod####work####just######ccomp####imagine####work######det####hitch####a######prep_without####work####hitch######prep_in####hitch####europe
,,,sold in other parts of the world :,amod####parts####other######prep_in####sold####parts######det####world####the######prep_of####parts####world
phone,,,another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world .,det####benefit####another######nsubj####is####benefit######det####phone####this######prep_of####benefit####phone######complm####phone####that######nsubj####phone####it######cop####phone####is######advmod####phone####truly######det####phone####an######amod####phone####international######ccomp####is####phone######det####6610####the######nsubjpass####sold####6610######auxpass####sold####is######parataxis####is####sold######prep####sold####in######advmod####everywhere####almost######pobj####in####everywhere######det####world####the######prep_in####everywhere####world
phone,,,this means that there is a good chance that this phone will not break easily like typical american phones .,nsubj####means####this######complm####is####that######expl####is####there######ccomp####means####is######det####chance####a######amod####chance####good######nsubj####is####chance######complm####break####that######det####phone####this######nsubj####break####phone######aux####break####will######neg####break####not######ccomp####is####break######advmod####break####easily######amod####phones####typical######nn####phones####american######prep_like####break####phones
,,,"or on the rare occasion it does you can bring it into any t-mobile store , which are located in many countries in europe .",dep####does####or######dep####or####on######det####occasion####the######amod####occasion####rare######pobj####on####occasion######nsubj####does####it######dep####bring####does######nsubj####bring####you######aux####bring####can######dobj####bring####it######det####store####any######amod####store####t-mobile######prep_into####bring####store######nsubjpass####located####store######auxpass####located####are######rcmod####store####located######amod####countries####many######prep_in####located####countries######prep_in####countries####europe
,,,i can not stress enough how big of a benefit it is to have a european phone and a european company providing your cell_phone service .,nsubj####stress####i######aux####stress####can######neg####stress####not######advmod####stress####enough######advmod####big####how######dep####is####big######dep####big####of######det####benefit####a######pobj####of####benefit######nsubj####is####it######xsubj####have####it######ccomp####stress####is######aux####have####to######xcomp####is####have######det####phone####a######nn####phone####european######nsubj####providing####phone######det####company####a######nn####company####european######conj_and####phone####company######nsubj####providing####company######dep####have####providing######poss####service####your######amod####service####cell_phone######dobj####providing####service
,,,able to use service in another country :,nn####service####use######prep_to####able####service######det####country####another######prep_in####service####country
,,,"if you decide to go to another country for an extended period of time , you can just buy a sim card from a service_provider in that country .",mark####decide####if######nsubj####decide####you######xsubj####go####you######advcl####buy####decide######aux####go####to######xcomp####decide####go######det####country####another######prep_to####go####country######det####period####an######amod####period####extended######prep_for####country####period######prep_of####period####time######nsubj####buy####you######aux####buy####can######advmod####buy####just######det####card####a######nn####card####sim######dobj####buy####card######det####service_provider####a######prep_from####buy####service_provider######det####country####that######prep_in####service_provider####country
,,,you would then have a phone_number in that country and not have to pay for international roaming in that country .,nsubj####have####you######xsubj####pay####you######aux####have####would######advmod####have####then######det####phone_number####a######dobj####have####phone_number######det####country####that######prep_in####phone_number####country######conj_and####have####not######neg####have####not######dep####have####have######aux####pay####to######xcomp####have####pay######amod####roaming####international######prep_for####pay####roaming######det####country####that######prep_in####roaming####country
,,,size and weight :,conj_and####size####weight
"size,weight",,,"when you put this phone in your pocket you forget it is there ; it is unbelievably small and oh , so light .",advmod####put####when######nsubj####put####you######dep####forget####put######det####phone####this######dobj####put####phone######poss####pocket####your######prep_in####put####pocket######nsubj####forget####you######nsubj####is####it######ccomp####forget####is######advmod####is####there######nsubj####small####it######nsubj####oh####it######cop####small####is######advmod####small####unbelievably######parataxis####forget####small######parataxis####forget####oh######conj_and####small####oh######advmod####light####so######dep####small####light
size,,,"this is a benefit for many reasons ; one being just for appearance , your pants wo n't be bulging with this phone in your pocket .",nsubj####benefit####this######cop####benefit####is######det####benefit####a######ccomp####bulging####benefit######amod####reasons####many######prep_for####benefit####reasons######dep####benefit####one######aux####just####being######partmod####one####just######prep_for####just####appearance######poss####pants####your######nsubj####bulging####pants######aux####bulging####wo######neg####bulging####n't######aux####bulging####be######det####phone####this######prep_with####bulging####phone######poss####pocket####your######prep_in####phone####pocket
,,,battery_life :
battery life,,,the battery_life on this phone is surreal .,det####battery_life####the######nsubj####surreal####battery_life######det####phone####this######prep_on####battery_life####phone######cop####surreal####is
,,,"it lasts , truly , 7 days on standby .",nsubj####lasts####it######advmod####lasts####truly######num####days####7######dep####lasts####days######prep_on####lasts####standby
battery,,,i 've used the speakerphone for almost two hours once and the battery did not even go down one single bar .,nsubj####used####i######aux####used####'ve######det####speakerphone####the######dobj####used####speakerphone######prep####used####for######advmod####hours####almost######num####hours####two######dep####once####hours######dep####for####once######det####battery####the######nsubj####go####battery######aux####go####did######neg####go####not######advmod####go####even######conj_and####used####go######prt####go####down######num####bar####one######amod####bar####single######dobj####go####bar
battery,,,it is amazing that the battery lasts so long when the phone is so small and light .,nsubj####amazing####it######cop####amazing####is######complm####lasts####that######det####battery####the######nsubj####lasts####battery######ccomp####amazing####lasts######advmod####long####so######advmod####lasts####long######advmod####small####when######det####phone####the######nsubj####small####phone######nsubj####light####phone######cop####small####is######advmod####small####so######dep####long####small######dep####long####light######conj_and####small####light
phone,,,"this phone has many other features , ir , ; just to name one , the features above i view as the most beneficial .",det####phone####this######nsubj####has####phone######amod####features####many######amod####features####other######dobj####has####features######appos####features####ir######dep####view####just######advcl####view####to######prep_to####view####name######num####name####one######det####features####the######nsubj####view####features######prep_above####features####i######parataxis####has####view######det####beneficial####the######advmod####beneficial####most######prep_as####view####beneficial
"bluetooth,high speed internet",,,"the phone has a few minor inconveniences , but only because it lacks those features , bluetooth and high spend_internet , but there are very few problems with things that you expected this phone to do .",det####phone####the######nsubj####has####phone######det####inconveniences####a######amod####inconveniences####few######amod####inconveniences####minor######dobj####has####inconveniences######advmod####has####only######conj_but####has####only######mark####lacks####because######nsubj####lacks####it######advcl####has####lacks######conj_but####has####lacks######det####features####those######dobj####lacks####features######dobj####lacks####bluetooth######conj_and####features####bluetooth######amod####spend_internet####high######dobj####lacks####spend_internet######conj_and####features####spend_internet######expl####are####there######conj_but####has####are######advmod####few####very######amod####problems####few######nsubj####are####problems######prep_with####are####things######complm####expected####that######nsubj####expected####you######ccomp####are####expected######det####phone####this######dobj####expected####phone######aux####do####to######infmod####phone####do
phone,,,"overall , i highly recommend this phone .",advmod####recommend####overall######nsubj####recommend####i######advmod####recommend####highly######det####phone####this######dobj####recommend####phone
phone,,,it is a perfect phone in such a small and appealing package .,nsubj####phone####it######cop####phone####is######det####phone####a######amod####phone####perfect######dep####small####such######dep####small####a######prep_in####phone####small######amod####package####appealing######prep_in####phone####package######conj_and####small####package
,,,i love the pros and cons_reviews so here ya go :,nsubj####love####i######det####pros####the######dobj####love####pros######dobj####love####cons_reviews######conj_and####pros####cons_reviews######advmod####here####so######advmod####love####here######nsubj####go####ya######dep####love####go
,,,pros :
size,,,size - extremely small and convenient will fit in your pocket and not bother you .,advmod####small####extremely######dep####fit####small######conj_and####small####convenient######dep####fit####convenient######aux####fit####will######dep####size####fit######poss####pocket####your######prep_in####fit####pocket######dep####size####not######conj_and####fit####not######neg####fit####not######dep####fit####bother######dobj####bother####you
"ringing tone,radio",,,"sound - excellent polyphonic ringing_tones are very nice ( check cons ) it also doubles as a radio , which is a nice feature when you are bored .",dep####nice####sound######amod####ringing_tones####excellent######amod####ringing_tones####polyphonic######nsubj####nice####ringing_tones######cop####nice####are######advmod####nice####very######dep####nice####check######dobj####check####cons######nsubj####doubles####it######advmod####doubles####also######ccomp####nice####doubles######det####radio####a######prep_as####doubles####radio######nsubj####feature####radio######cop####feature####is######det####feature####a######amod####feature####nice######rcmod####radio####feature######advmod####bored####when######rel####bored####when######nsubjpass####bored####you######auxpass####bored####are######dep####feature####bored
speakerphone,,,speakerphone - loud and clear has some nice extra features like currency_converter and a stopwatch .,nsubj####has####speakerphone######amod####speakerphone####loud######amod####speakerphone####clear######conj_and####loud####clear######det####features####some######amod####features####nice######amod####features####extra######dobj####has####features######prep_like####features####currency_converter######det####stopwatch####a######prep_like####features####stopwatch######conj_and####currency_converter####stopwatch
web,,,"surfing the web on it is nice as well , i just wish there were more wap pages available .",csubj####nice####surfing######det####web####the######dobj####surfing####web######prep_on####surfing####it######cop####nice####is######ccomp####wish####nice######prep####nice####as######dep####as####well######nsubj####wish####i######advmod####wish####just######expl####were####there######ccomp####wish####were######amod####pages####more######nn####pages####wap######nsubj####were####pages######amod####pages####available
,,,cons :
ring tone,,,"ring tones only come with crazy songs and annoying rings , there is only one ring that sounds close to a regular ring .",nn####tones####ring######nsubj####come####tones######advmod####come####only######ccomp####is####come######amod####songs####crazy######prep_with####come####songs######amod####rings####annoying######prep_with####come####rings######conj_and####songs####rings######expl####is####there######advmod####ring####only######num####ring####one######nsubj####is####ring######nsubj####sounds####ring######rcmod####ring####sounds######acomp####sounds####close######det####ring####a######amod####ring####regular######prep_to####close####ring
screen,,,the screen is easily scratched but if you have the warranty you should be able to swap it out .,det####screen####the######nsubj####scratched####screen######cop####scratched####is######advmod####scratched####easily######mark####have####if######nsubj####have####you######advcl####able####have######det####warranty####the######dobj####have####warranty######nsubj####able####you######aux####able####should######cop####able####be######conj_but####scratched####able######aux####swap####to######xcomp####able####swap######dobj####swap####it######prt####swap####out
game,,,games_kind of stink and you cant download them you have to get the link_cable to get additional games .,prep_of####games_kind####stink######nsubj####download####you######advmod####download####cant######conj_and####games_kind####download######dobj####download####them######nsubj####have####you######xsubj####get####you######dep####download####have######aux####get####to######xcomp####have####get######det####link_cable####the######dobj####get####link_cable######aux####get####to######infmod####link_cable####get######amod####games####additional######dobj####get####games
"phone,size",,,nice little phone ... light compact . .
,,,great features . .
button,,,buttons do seem a little sticky tho_.. and the hands free kits ' connector might be a problem_..
,,,"perhaps there is a tone of irony in the title of my review , but i actually mean it in earnest .",advmod####is####perhaps######expl####is####there######det####tone####a######nsubj####is####tone######prep_of####tone####irony######det####title####the######prep_in####irony####title######poss####review####my######prep_of####title####review######nsubj####mean####i######advmod####mean####actually######conj_but####is####mean######dobj####mean####it######prep_in####mean####earnest
,,,after having had my heart broken by a sexy piece of hardware that simply would n't perform .,aux####had####having######prepc_after####perform####had######poss####heart####my######dobj####had####heart######partmod####heart####broken######det####piece####a######amod####piece####sexy######agent####broken####piece######prep_of####piece####hardware######nsubj####perform####that######advmod####perform####simply######aux####perform####would######neg####perform####n't
,,,"i replaced it with this not-quite-so-dazzling , but definitely more functional device .",nsubj####replaced####i######dobj####replaced####it######det####device####this######amod####device####not-quite-so-dazzling######advmod####functional####definitely######advmod####functional####more######conj_but####not-quite-so-dazzling####functional######amod####device####functional######prep_with####replaced####device
wireless telephone,,,"although the nokia 6610 is a little short on the features_department , it is an outstanding piece of hardware for doing what it was primarily meant to do : to be a wireless telephone .",mark####short####although######det####6610####the######amod####6610####nokia######nsubj####short####6610######cop####short####is######dep####little####a######measure####short####little######advcl####piece####short######det####features_department####the######prep_on####short####features_department######nsubj####piece####it######cop####piece####is######det####piece####an######amod####piece####outstanding######prep_of####piece####hardware######prepc_for####hardware####doing######dobj####meant####what######nsubjpass####meant####it######xsubj####do####it######auxpass####meant####was######advmod####meant####primarily######ccomp####doing####meant######aux####do####to######xcomp####meant####do######aux####telephone####to######cop####telephone####be######det####telephone####a######amod####telephone####wireless######parataxis####do####telephone######xcomp####do####telephone
"reception,sound quality",,,the reception and sound quality are top-notch .,det####quality####the######nn####quality####reception######conj_and####reception####sound######nn####quality####sound######nsubj####top-notch####quality######cop####top-notch####are
,,,"i can routinely talk on the phone in my house in the suburbs , which is an unaccustomed luxury , even with t-mobile service .",nsubj####talk####i######aux####talk####can######advmod####talk####routinely######det####phone####the######prep_on####talk####phone######poss####house####my######prep_in####phone####house######det####suburbs####the######prep_in####talk####suburbs######nsubj####luxury####suburbs######cop####luxury####is######det####luxury####an######amod####luxury####unaccustomed######rcmod####suburbs####luxury######rcmod####luxury####even######dep####even####with######amod####service####t-mobile######pobj####with####service
"size,weight",,,i like the size and weight of this little critter .,dep####like####i######det####size####the######dobj####like####size######dobj####like####weight######conj_and####size####weight######det####critter####this######amod####critter####little######prep_of####size####critter
,size,,"i am able to carry it close to my body , in places where other phones are not so easily concealed .",nsubj####able####i######cop####able####am######aux####carry####to######xcomp####able####carry######nsubjpass####concealed####it######poss####body####my######prep_close_to####concealed####body######dep####concealed####in######pobj####in####places######advmod####concealed####where######amod####phones####other######nsubjpass####concealed####phones######auxpass####concealed####are######neg####concealed####not######advmod####easily####so######advmod####concealed####easily######xcomp####carry####concealed
layout,,,"the keys are close together , and the layout is a bit funky in relation to standard rectangular_layout keypads , but it 's not too weird .",det####keys####the######nsubj####close####keys######cop####close####are######advmod####close####together######det####layout####the######nsubj####funky####layout######cop####funky####is######dep####bit####a######measure####funky####bit######conj_and####close####funky######prep_in####funky####relation######amod####keypads####standard######nn####keypads####rectangular_layout######prep_to####funky####keypads######nsubj####weird####it######cop####weird####'s######neg####weird####not######advmod####weird####too######conj_but####close####weird
key,,,"the fact that the `` 0 `` key is the space_key for text_input is a bit confusing , as many phones use the `` # `` key instead .",det####fact####the######nsubj####confusing####fact######complm####space_key####that######det####key####the######nn####key####0######nsubj####space_key####key######cop####space_key####is######det####space_key####the######dep####fact####space_key######prep_for####space_key####text_input######cop####confusing####is######dep####bit####a######measure####confusing####bit######mark####use####as######amod####phones####many######nsubj####use####phones######advcl####confusing####use######det####key####the######amod####key###########dobj####use####key######advmod####use####instead
,,,but that 's not an insurmoutable obstacle .,cc####obstacle####but######nsubj####obstacle####that######cop####obstacle####'s######neg####obstacle####not######det####obstacle####an######amod####obstacle####insurmoutable
screen,,,"the screen is bright , easy to see in the daylight , with nice colors .",det####screen####the######nsubj####bright####screen######xsubj####see####screen######cop####bright####is######advmod####see####easy######aux####see####to######xcomp####bright####see######det####daylight####the######prep_in####see####daylight######amod####colors####nice######prep_with####see####colors
picture,,,it receives very nice mms_pictures from other gsm phones .,nsubj####receives####it######advmod####nice####very######amod####mms_pictures####nice######dobj####receives####mms_pictures######amod####phones####other######nn####phones####gsm######prep_from####mms_pictures####phones
user interface,,,there are some features in the user_interface that i find a little inconvenient .,expl####are####there######det####features####some######nsubj####are####features######det####user_interface####the######prep_in####features####user_interface######dobj####find####user_interface######complm####find####that######nsubj####find####i######dep####user_interface####find######dep####little####a######measure####inconvenient####little######acomp####find####inconvenient
menu option,,,"the menu_options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu_order , to select them by using the number_keypad .",det####menu_options####the######nsubj####one####menu_options######cop####one####appear######det####time####a######prep_at####one####time######xcomp####one####taking######prt####taking####up######det####screen####the######amod####screen####whole######dobj####taking####screen######nsubj####has####one######xsubj####scroll####one######conj_and####one####has######aux####scroll####to######xcomp####has####scroll######prt####scroll####down######dobj####scroll####one######prep_by####scroll####one######aux####memorized####have######xcomp####has####memorized######conj_or####scroll####memorized######advmod####are####where######nsubj####are####they######xsubj####select####they######advcl####memorized####are######det####menu_order####the######prep_in####are####menu_order######aux####select####to######xcomp####are####select######dobj####select####them######prepc_by####select####using######det####number_keypad####the######dobj####using####number_keypad
,,,thumbs down on that one .,prt####thumbs####down######det####one####that######prep_on####thumbs####one
vibrate setting,,,the vibrate_setting is loud !,det####vibrate_setting####the######nsubj####loud####vibrate_setting######cop####loud####is
,,vibrate setting,"so loud , really , that it does n't work terribly well as a silent ringer_option .",advmod####loud####so######advmod####work####loud######advmod####work####really######dep####work####that######nsubj####work####it######aux####work####does######neg####work####n't######acomp####work####terribly######advmod####terribly####well######det####ringer_option####a######amod####ringer_option####silent######prep_as####terribly####ringer_option
ringer,,,"but , then again , the ringer can be so loud that i heard it ringing inside my office , when i was already out on the street_.. ."
,,,"which was a good thing , because i realized i had forgotten my phone ...",nsubj####thing####which######cop####thing####was######det####thing####a######amod####thing####good######mark####realized####because######nsubj####realized####i######advcl####thing####realized######nsubj####forgotten####i######aux####forgotten####had######ccomp####realized####forgotten######poss####phone####my######dobj####forgotten####phone
"voice dialing,headset jack",,,other things that i miss are voice-activated dialing and a standard 2.5 mm headset jack .,amod####things####other######dobj####miss####things######nsubj####dialing####things######complm####miss####that######nsubj####miss####i######dep####things####miss######cop####dialing####are######amod####dialing####voice-activated######det####jack####a######amod####jack####standard######num####jack####2.5######nn####jack####mm######nn####jack####headset######conj_and####dialing####jack
,,,"i 'd like a camera_phone , but i 'd rather have a phone than a toy that takes pictures but makes no calls ...",nsubj####like####i######aux####like####'d######det####camera_phone####a######dobj####like####camera_phone######nsubj####have####i######aux####have####'d######advmod####have####rather######conj_but####like####have######det####phone####a######dobj####have####phone######det####toy####a######prep_than####phone####toy######nsubj####takes####toy######nsubj####makes####toy######rcmod####toy####takes######dobj####takes####pictures######rcmod####toy####makes######conj_but####takes####makes######det####calls####no######dobj####makes####calls
,,,pros :
"weight, design",,,"- light , compact design",amod####design####compact######appos####light####design
construction,,,"- solid , high-quality_construction",appos####solid####high-quality_construction
keypad,,,- well-backlit_keypad
reception,,,- outstanding signal reception,amod####reception####outstanding######nn####reception####signal######dep####-####reception
sound quality,,,- excellent_sound quality,amod####quality####excellent_sound######nsubj####-####quality
screen,,,"- bright , visible screen",amod####screen####visible######appos####bright####screen
speakerphone,,,- speakerphone
battery life,,,- very long-lasting battery_life,advmod####long-lasting####very######dep####long-lasting####battery_life
,,,cons :
user interface,,,- some features in the user_interface,nsubj####features####some######det####user_interface####the######prep_in####features####user_interface
voice dialing,,,- no voice activated dialing ( what were they thinking,det####voice####no######nsubj####activated####voice######xcomp####activated####dialing######nsubj####they####what######cop####they####were######ccomp####dialing####they######partmod####they####thinking
"picture, ringtone",,,- no option for caller-id pictures or individualized ringtones .,det####option####no######amod####pictures####caller-id######prep_for####option####pictures######amod####ringtones####individualized######prep_for####option####ringtones######conj_or####pictures####ringtones
headset jack,,,- no propietary headset_jack,det####propietary####no######nsubj####headset_jack####propietary
,,,this bumpy is wicked groovy .,det####bumpy####this######nsubj####wicked####bumpy######cop####wicked####is######advmod####wicked####groovy
,,,i thought it would be haggard but when i be gotted this junky_i was mad happy and stuff .,nsubj####thought####i######nsubjpass####haggard####it######aux####haggard####would######auxpass####haggard####be######dep####thought####haggard######advmod####gotted####when######nsubjpass####gotted####i######auxpass####gotted####be######dep####thought####gotted######conj_but####haggard####gotted######det####junky_i####this######nsubj####mad####junky_i######cop####mad####was######ccomp####gotted####mad######dep####mad####happy######ccomp####gotted####stuff######conj_and####mad####stuff
,,,this junky is super duper_rad . it be my fav c-phone and stuff .,nsubj####c-phone####it######cop####c-phone####be######poss####c-phone####my######nn####c-phone####fav######conj_and####c-phone####stuff
,,,so go and buy dis sucka beefo it all be gone an stuffff .,advmod####go####so######conj_and####go####buy######nn####sucka####dis######dobj####go####sucka######xcomp####go####beefo######nsubjpass####gone####it######advmod####gone####all######auxpass####gone####be######ccomp####beefo####gone######det####stuffff####an######dobj####gone####stuffff
,,,aight den_bumpy ?,dep####den_bumpy####aight
,,,word ... peace in the east bruvah .,dep####word####peace######det####bruvah####the######amod####bruvah####east######prep_in####peace####bruvah
phone,,,one of the best cell_phones i have ever used to-date .,nsubj####used####one######det####i####the######amod####i####best######amod####i####cell_phones######prep_of####one####i######aux####used####have######advmod####used####ever######dep####used####to-date
speakerphone,,,i like the speakphone_function a lot .,dep####like####i######det####speakphone_function####the######dobj####like####speakphone_function######det####lot####a######dep####speakphone_function####lot
,,,it allows me to place the phone on the table while talking and working on my computer or other jobs .,nsubj####allows####it######nsubj####place####me######aux####place####to######xcomp####allows####place######det####phone####the######dobj####place####phone######det####table####the######prep_on####phone####table######prepc_while####place####talking######prepc_while####place####working######conj_and####talking####working######poss####jobs####my######nn####jobs####computer######conj_or####computer####other######nn####jobs####other######prep_on####talking####jobs
"quality,durability",,,i am very pleased with its quality and durability .,nsubj####pleased####i######cop####pleased####am######advmod####pleased####very######poss####quality####its######prep_with####pleased####quality######prep_with####pleased####durability######conj_and####quality####durability
key lock,,,i like the automatic key_lock function .,dep####like####i######det####function####the######amod####function####automatic######nn####function####key_lock######dobj####like####function
weight,,,the phone is very light weight .,det####phone####the######nsubj####weight####phone######cop####weight####is######advmod####light####very######amod####weight####light
"screen, ring tone",,,the screen is bright and ring_tones are unlimited .,det####screen####the######nsubj####bright####screen######cop####bright####is######nsubj####unlimited####ring_tones######cop####unlimited####are######conj_and####bright####unlimited
fm radio,,,the fm_radio is cool .,det####fm_radio####the######nsubj####cool####fm_radio######cop####cool####is
,,,most of our emplyees use this model_phone .,nsubj####use####most######poss####emplyees####our######prep_of####most####emplyees######det####model_phone####this######dobj####use####model_phone
,,,best regards sadoun satellite sales,advmod####regards####best######amod####sales####sadoun######nn####sales####satellite######nsubj####regards####sales
nokia,,,"while going for a cellphone , i was fully determined to buy a nokia only as it is the best in cellphones .",mark####going####while######advcl####determined####going######det####cellphone####a######prep_for####going####cellphone######nsubjpass####determined####i######xsubj####buy####i######auxpass####determined####was######advmod####determined####fully######aux####buy####to######xcomp####determined####buy######det####nokia####a######dobj####buy####nokia######advmod####best####only######dep####best####as######nsubj####best####it######cop####best####is######det####best####the######dep####buy####best######prep_in####best####cellphones
,,,"after much survey of all the present handsets and recommendations from friends , i bought this nokia 6610 .",amod####survey####much######prep_after####bought####survey######dep####handsets####all######det####handsets####the######amod####handsets####present######prep_of####survey####handsets######prep_of####survey####recommendations######conj_and####handsets####recommendations######prep_from####survey####friends######nsubj####bought####i######det####nokia####this######dobj####bought####nokia######num####nokia####6610
phone,,,and really this is the best phone one could have .,advmod####this####really######dep####and####this######cop####phone####is######det####phone####the######amod####phone####best######rcmod####this####phone######dobj####have####phone######nsubj####have####one######aux####have####could######rcmod####phone####have
feature,,,it has all the features one would need in a cellphone .,nsubj####has####it######predet####features####all######det####features####the######dobj####has####features######dobj####need####features######nsubj####need####one######aux####need####would######rcmod####features####need######det####cellphone####a######prep_in####need####cellphone
"weight,phone",,,"it is lightweight , sleek and attractive .",nsubj####lightweight####it######nsubj####sleek####it######nsubj####attractive####it######cop####lightweight####is######conj_and####lightweight####sleek######conj_and####lightweight####attractive
"phone, menu",,,"this phone is very user-friendly , easy to manipulate & # 38 ; very convenient to scroll in menu_etc .",det####phone####this######nsubj####user-friendly####phone######xsubj####manipulate####phone######cop####user-friendly####is######advmod####user-friendly####very######dep####user-friendly####easy######aux####manipulate####to######xcomp####user-friendly####manipulate######cc####38####&######dep####38###########dobj####manipulate####38######advmod####convenient####very######dep####38####convenient######aux####scroll####to######infmod####38####scroll######prep_in####scroll####menu_etc
,,,the time taken in shifting from one menu_option to other is in microseconds only .,det####time####the######nsubj####is####time######partmod####time####taken######prepc_in####taken####shifting######num####menu_option####one######prep_from####shifting####menu_option######prep_to####shifting####other######prep_in####is####microseconds######advmod####is####only
radio,,,it has fm radio_option and i can listen to music_anytime .,nsubj####has####it######nn####radio_option####fm######dobj####has####radio_option######nsubj####listen####i######xsubj####music_anytime####i######aux####listen####can######conj_and####has####listen######aux####music_anytime####to######xcomp####listen####music_anytime
speakerphone,,,"its speakerphone_option allows us to do long talks conveniently , lying on bed & # 38 ; phone_lying by your pillowside .",poss####speakerphone_option####its######nsubj####allows####speakerphone_option######nsubj####do####us######aux####do####to######xcomp####allows####do######amod####talks####long######dep####conveniently####talks######advmod####do####conveniently######xcomp####do####lying######prep_on####lying####bed######dep####38###########prep_on####lying####38######conj_and####bed####38######parataxis####allows####phone_lying######poss####pillowside####your######prep_by####phone_lying####pillowside
"wallpaper,tune",,,it comes equipped with lot of wallpapers and polyphonic sweet tunes .,nsubj####comes####it######acomp####comes####equipped######prep_with####equipped####lot######prep_of####lot####wallpapers######amod####tunes####polyphonic######amod####tunes####sweet######prep_of####lot####tunes######conj_and####wallpapers####tunes
camera,,,only if we could get one camera in it . .
,,,it did have scored over all other competitors ... .,nsubj####did####it######aux####scored####have######ccomp####did####scored######det####competitors####all######amod####competitors####other######prep_over####scored####competitors
phone,,,i am enjoying my phone a lot ... .,nsubj####enjoying####i######aux####enjoying####am######poss####phone####my######dobj####enjoying####phone######det####lot####a######dep####phone####lot
,,,"like some other reviewers , i recieved this phone using t-mobiles upgrade program .",det####reviewers####some######amod####reviewers####other######prep_like####recieved####reviewers######nsubj####recieved####i######det####phone####this######dobj####recieved####phone######partmod####phone####using######amod####program####t-mobiles######amod####program####upgrade######dobj####using####program
,,,"i had been comparing the 3650 , 3560 and the 3595 but could n't settle ... then along came the 6610 , which was perfect for me .",nsubj####comparing####i######nsubj####settle####i######aux####comparing####had######aux####comparing####been######det####3650####the######dobj####comparing####3650######dobj####comparing####3560######conj_and####3650####3560######det####3595####the######dobj####comparing####3595######conj_and####3650####3595######aux####settle####could######neg####settle####n't######conj_but####comparing####settle######nsubj####came####then######advmod####came####along######parataxis####comparing####came######det####6610####the######dobj####came####6610######nsubj####perfect####6610######cop####perfect####was######rcmod####6610####perfect######prep_for####perfect####me
,,,pros :
size,,,small size .,amod####size####small
,size,,i love the fact_i can carry it in my shirt or pants_pocket and forget about it .,dep####love####i######det####fact_i####the######nsubj####carry####fact_i######nsubj####forget####fact_i######aux####carry####can######ccomp####love####carry######dobj####carry####it######poss####shirt####my######prep_in####carry####shirt######prep_in####carry####pants_pocket######conj_or####shirt####pants_pocket######ccomp####love####forget######conj_and####carry####forget######prep_about####forget####it
,,,just make sure the keys are locked .,advmod####make####just######acomp####make####sure######det####keys####the######nsubjpass####locked####keys######auxpass####locked####are######ccomp####sure####locked
